# Total AGB yield table from MESA stellar evolution models
# Combines Early-AGB (EAGB) + Thermally-Pulsing AGB (TPAGB)
# Columns:
#   1: M_init    - Initial stellar mass (Msun)
#   2: Z_init    - Initial metallicity (mass fraction)
#   3: t_start   - AGB start time (Myr)
#   4: t_end     - AGB end time (Myr)
#   5: C_yield   - Carbon-12 yield (Msun)
#   6: N_yield   - Nitrogen-14 yield (Msun)
#   7: O_yield   - Oxygen-16 yield (Msun)
#   8: Ne_yield  - Neon-20 yield (Msun)
#   9: Mg_yield  - Magnesium-24 yield (Msun)
#  10: Z_total   - Total metal yield (Msun)
#  11: M_lost    - Total mass lost (Msun)
#
# M_init  Z_init     t_start    t_end      C_yield    N_yield    O_yield    Ne_yield   Mg_yield   Z_total    M_lost
 2.500  0.030000     852.423     872.403    0.012682    0.007802    0.022281   0.0062615   0.0107172    0.061267    1.76139
 3.000  0.000100     276.482     278.618    0.013194    0.000239    0.001588   0.0000318   0.0000448    0.016261    2.15973
 3.000  0.001000     306.637     309.054    0.013219    0.000364    0.002270   0.0002625   0.0004526    0.017109    2.18788
 3.000  0.002000     323.609     326.518    0.014401    0.000785    0.003220   0.0005284   0.0009198    0.020468    2.22339
 3.000  0.003000     338.574     341.871    0.020888    0.001221    0.004740   0.0008025   0.0013979    0.030017    2.25286
 3.000  0.004000     353.304     357.001    0.023175    0.001649    0.005795   0.0010804   0.0018844    0.034767    2.27769
 3.000  0.005000     366.284     370.756    0.023854    0.002065    0.006634   0.0013600   0.0023741    0.037578    2.29568
 3.000  0.010000     425.504     432.556    0.030705    0.004026    0.012088   0.0027715   0.0048411    0.056662    2.34068
 3.000  0.015000     459.418     468.278    0.029160    0.005772    0.016596   0.0041248   0.0072058    0.065233    2.32267
 3.000  0.020000     479.837     489.900    0.026040    0.007320    0.020519   0.0054280   0.0094342    0.071007    2.28071
 3.000  0.030000     499.801     509.782    0.020762    0.010015    0.027647   0.0077599   0.0135571    0.081775    2.18498
 3.500  0.000100     194.676     196.138    0.003164    0.010136    0.001312   0.0000386   0.0000545    0.015334    2.62447
 3.500  0.001000     212.295     213.908    0.009033    0.004493    0.002381   0.0003194   0.0005472    0.018335    2.64460
 3.500  0.002000     222.091     223.937    0.014229    0.001280    0.003610   0.0006355   0.0010998    0.022290    2.65819
 3.500  0.003000     230.042     232.004    0.014363    0.001413    0.004484   0.0009464   0.0016459    0.023583    2.65224
 3.500  0.004000     236.504     238.736    0.013399    0.001914    0.005291   0.0012585   0.0021935    0.024691    2.65123
