NGC0448            6.15815E+00    2.21367E-01    3.45457E-01    2.57026E-01   -9.97369E-01    1.08021E-01            ---            ---            ---            ---    1.03967E+01    7.21871E-02            ---            ---            ---            ---
NGC0493            7.20705E+00    6.20818E-02    1.30476E-01    5.59537E-02   -1.08546E+00    3.07427E-02    9.62852E+00    2.70671E-03            ---            ---    9.60169E+00    6.97746E-02   -9.70038E+00    9.06091E-02    8.31468E+00    2.30320E-02
UGC00931           6.31194E+00    3.17397E-01    5.56979E-02    3.44055E-01   -1.30216E+00    1.66178E-01    9.16869E+00    6.37352E-02            ---            ---    8.65678E+00    1.41223E-01   -9.81081E+00    2.05184E-01    8.02902E+00    6.60317E-02
NGC0520            7.45089E+00    5.79719E-02    1.14484E+00    5.62180E-02   -1.30828E+00    9.35406E-03            ---            ---            ---            ---    1.03498E+01    6.01005E-02   -9.42595E+00    7.06265E-02            ---            ---
NGC0584            6.07237E+00    2.00780E-01    8.36665E-01    2.46933E-01   -9.44330E-01    1.25521E-01            ---            ---            ---            ---    1.09698E+01    3.90909E-02   -1.27331E+01    3.75026E-01            ---            ---
NGC0586            6.57715E+00    8.99768E-02    8.07780E-02    1.02598E-01   -8.71561E-01    6.09797E-02            ---            ---            ---            ---    9.89991E+00    6.41806E-02   -1.13078E+01    3.10355E-01            ---            ---
NGC0613            8.01043E+00    1.66342E-02    6.11637E-01    2.13760E-02   -1.01866E+00    1.06541E-02    1.03717E+01    1.16408E-01   -4.72073E-01    1.90715E-01    1.09005E+01    8.99803E-02   -9.85564E+00    1.33486E-01    8.56405E+00    2.18401E-02
NGC0625            5.63356E+00    1.16134E-01    6.13165E-01    9.69705E-02   -1.29075E+00    6.51814E-02    8.42573E+00    2.27660E-02            ---            ---    8.51504E+00    1.01203E-01   -9.79194E+00    1.26434E-01    8.03908E+00    1.48664E-02
NGC0628            7.64116E+00    7.17653E-02    1.77800E-01    9.46478E-02   -8.14294E-01    3.89061E-02    1.04595E+01    5.35719E-03   -1.40651E+00    1.45466E-01    1.01449E+01    6.29340E-02   -9.78507E+00    1.03175E-01    8.48143E+00    6.10037E-03
NGC0678            7.18718E+00    9.91030E-02   -1.51091E-01    1.02985E-01   -7.02090E-01    5.72200E-02    9.96025E+00    1.06461E-01            ---            ---    1.07770E+01    5.01399E-02   -1.15379E+01    3.77978E-01            ---            ---
