KINGFISH NGC 0337       7.28 6.87 10.06   0.52 3.8    4.7E+1|22.2     0.89 2.54E+4 2.28 
KINGFISH NGC 0584        
KINGFISH NGC 0628       7.46 7.08  9.81   1.42 1.3    2.4   |19.5     0.46 7.40E+1 2.50 
KINGFISH NGC 0855       6.18 5.76  8.59   0.16 1.7    1.2E+1|17.1     0.12 4.72E+2 1.85 
KINGFISH NGC 0925       7.89 7.49  9.53   0.79 2.7E-1 8.1E-1|12.6     0.01 7.87    1.51 
KINGFISH NGC 1097       7.93 7.54 10.62   0.83 3.0    2.0E+2|21.0     0.64 1.87E+6 2.26 
KINGFISH NGC 1266       6.92 6.55 10.45   0.12 2.2E+1 9.9E+2|29.6     5.02 6.17E+6 2.29 
KINGFISH NGC 1291       7.29 6.86  9.33 <=0.00c7.0E-1 1.7   |17.5     0.24 1.04E+2 2.50 
KINGFISH NGC 1316        
KINGFISH NGC 1377       6.53 6.03 10.17   0.73 2.6E+1 2.0E+2|26.1     1.33 7.28E+3 1.79 
KINGFISH NGC 1404        
KINGFISH IC 0342        7.60 7.23 10.20   1.58 2.2    3.9E+1|21.1     0.74 6.18E+5 2.50 
KINGFISH NGC 1482       7.40 7.01 10.71   0.90 1.2E+1 5.1E+2|26.7     2.67 2.14E+6 2.27 
KINGFISH NGC 1512       7.73 7.26  9.50   0.50 3.7E-1 1.7   |13.9     0.03 4.13E+1 1.85 
KINGFISH NGC 2146       7.65 7.26 11.13   1.04 1.7E+1 2.4E+2|29.1     4.80 3.89E+5 2.37 
KINGFISH HoII           4.92 4.52  7.71 <=0.00c4.2    1.8E+2|21.8     0.75 3.83E+5 2.20 
KINGFISH DDO053         4.04 3.67  7.06   0.13 6.7    1.9E+2|24.4     1.57 5.23E+5 2.30 
KINGFISH NGC 2798       7.11 6.73 10.60   0.53 2.0E+1 1.4E+3|28.0     3.37 6.04E+6 2.19 
KINGFISH NGC 2841       7.78 7.42  9.95   0.80 8.8E-1 2.6E-1|19.2     0.58 1.00    2.50 
KINGFISH NGC 2915       5.66 5.28  7.58   0.36 5.2E-1 3.0   |12.5     0.01 6.00E+1 1.58 
KINGFISH HoI            5.44 5.15  7.08   0.18 2.8E-1 4.5   |11.5     0.01 3.85E+2 1.80 
KINGFISH NGC 2976       6.33 5.95  8.86   0.89 2.0    3.3   |21.0     0.72 7.60E+1 2.50 
KINGFISH NGC 3049       7.17 6.76  9.57   0.86 1.5    3.5E+1|16.5     0.11 6.99E+3 1.95 
KINGFISH NGC 3077       6.55 5.78  8.86   0.66 1.3    3.7   |14.8     0.01 2.98E+1 1.30 
KINGFISH M81dwB         5.03 4.66  6.65 <=0.21 2.7E-1 1.4   |12.0     0.01 2.90E+1 1.67 
KINGFISH NGC 3190       7.25 6.89  9.81   1.16 2.1    3.0   |21.3     0.79 4.86E+1 2.50 
KINGFISH NGC 3184       7.58 7.25  9.90   1.15 1.2    1.0   |19.8     0.53 7.56    2.50 
KINGFISH NGC 3198       7.96 7.26  9.86   1.12 4.8E-1 9.6E-1|14.1     0.01 5.62    1.25 
KINGFISH IC 2574        6.54 6.06  8.31 <=0.06 3.8E-1 4.1   |13.2     0.03 2.75E+2 1.88 
KINGFISH NGC 3265       6.42 5.99  9.43   0.85 6.2    9.0E-1|22.2     0.71 1.49E+4 2.03 
KINGFISH NGC 3351       7.28 6.88  9.83   0.53 2.1    4.5E+1|20.9     0.71 1.26E+6 2.50 
KINGFISH NGC 3521       7.91 7.54 10.49   1.56 2.1    1.8   |21.7     0.94 1.38E+1 2.50 
KINGFISH NGC 3621       7.57 6.98  9.84   1.56 1.1    1.6   |17.1     0.02 6.64    1.00 
KINGFISH NGC 3627       7.60 7.25 10.40   1.15 3.7    1.1E+2|22.9     1.22 7.64E+6 2.50 
KINGFISH NGC 3773       5.96 5.54  8.77   0.88 3.9    7.7E+1|21.4     0.66 3.97E+4 2.17 
KINGFISH NGC 3938       7.72 7.34 10.20   1.25 1.7    2.8   |20.5     0.63 6.19E+1 2.50 
KINGFISH NGC 4236       7.06 6.25  8.62 <=0.17 2.4E-1 1.2   |11.9     0.01 2.48E+1 1.68 
KINGFISH NGC 4254       7.81 7.46 10.55   1.64 3.0    6.8E+1|22.2     1.01 2.33E+6 2.50 
KINGFISH NGC 4321       7.88 7.55 10.45   1.25 2.1    1.1   |21.9     1.09 5.73    2.50 
KINGFISH NGC 4536       7.60 7.19 10.34   0.91 3.3    4.8E+1|20.8     0.53 1.35E+4 2.14 
KINGFISH NGC 4559       7.46 7.00  9.39   1.12 5.2E-1 1.4   |13.7     0.01 1.06E+1 1.36 
KINGFISH NGC 4569       7.18 6.79  9.71   1.52 1.8    4.2E+1|20.4     0.61 1.51E+6 2.50 
KINGFISH NGC 4579       7.59 7.22 10.00   1.41 1.5    3.9E+1|19.6     0.49 2.20E+6 2.50 
KINGFISH NGC 4594       7.28 6.96  9.48   0.87 9.9E-1 3.6E-1|19.5     0.48 1.27    1.00 
KINGFISH NGC 4625       6.63 6.01  8.68   1.43 6.6E-1 1.0   |15.4     0.01 4.76    1.07 
KINGFISH NGC 4631       7.59 7.20 10.32   0.98 3.1    1.7E+1|22.3     1.05 8.47E+3 2.50 
KINGFISH NGC 4725        
KINGFISH NGC 4736        
KINGFISH DDO154          
KINGFISH NGC 4826       6.60 6.31  9.58   0.96 5.5    1.2   |26.1     3.95 4.53    2.42 
KINGFISH DDO165          
KINGFISH NGC 5055       7.76 7.46 10.23   1.41 1.7    6.6E-1|21.2     0.98 2.77    2.50 
KINGFISH NGC 5398       6.78 6.43  8.57   0.66 3.6E-1 2.4   |12.1     0.01 6.34E+1 1.66 
KINGFISH NGC 5408       5.64 5.20  8.29   0.01 3.0    4.2E+1|13.0     0.01 1.93E+3 1.55 
KINGFISH NGC 5457       8.16 7.53 10.27   0.85 7.9E-1 1.2   |15.9     0.01 5.40    1.04 
KINGFISH NGC 5474       6.79 6.36  8.65   0.95 4.4E-1 3.8   |14.2     0.04 2.52E+2 1.96 
KINGFISH NGC 5713       7.43 7.04 10.51   0.57 7.6    2.8E+2|24.6     1.61 9.18E+5 2.26 
KINGFISH NGC 5866       6.78 6.45  9.68   0.82 4.8    5.2E-1|25.6     4.00 1.84    2.37 
KINGFISH NGC 6946       7.85 7.47 10.51   1.25 2.5    5.5E+1|21.6     0.85 1.65E+6 2.50 
KINGFISH NGC 7331       8.08 7.72 10.65   1.24 2.1    2.2   |21.5     0.87 2.10E+1 2.50 
KINGFISH NGC 7793       7.24 6.79  9.18   0.94 5.5E-1 1.2   |14.2     0.01 7.65    1.27 
