group_index,selected,mass_bin_log10,M200c_Msun,log10_M200c_Msun,R200c_kpc_h,GroupLen,GroupNsubs,x_Mpc_h,y_Mpc_h,z_Mpc_h,edge_distance_Mpc_h,neighbor_group_index,neighbor_M200c_Msun,neighbor_mass_ratio,neighbor_distance_Mpc_h,neighbor_distance_over_R200c,score
9235,1,10.5-11.0,56014957699.97119,10.748304012348363,54.53762435913087,500,1,24.332310546875,28.158666015625002,25.83405078125,21.841333984374998,11896,40010682047.65297,0.7142856781568818,0.9221602567572544,16.908698675336844,1.0
4946,0,,103542794801.61797,11.015119883173746,66.9324722290039,1010,1,16.7433203125,13.161905273437501,13.071849609375,13.071849609375,2968,182836691821.81854,1.7658079654129784,1.3922713965581712,20.801135087235835,1.0
4952,0,,108635064327.35559,11.035970025860511,68.01167297363281,1009,1,41.3464609375,38.03963671875,38.93914453125,8.653539062500002,5163,111908666165.32976,1.030133933810815,1.6342469364608518,24.028918346037848,1.0
4959,0,,108028846486.86282,11.03353973879515,67.88595581054688,1006,1,36.32002734375,7.71390966796875,33.89404296875,7.71390966796875,7229,69109357968.72534,0.6397305924869761,1.9863306881014313,29.259817651309135,1.0
4961,0,,100026708660.70372,11.000115978752131,66.16840362548828,1005,1,19.877892578125,14.4329521484375,30.110361328125002,14.4329521484375,1074,632532508473.8411,6.32363612622132,1.1611973291058395,17.549121113427354,1.0
4968,0,,102572843423.57253,11.011032394767998,66.72206115722656,1004,2,31.365513671875,33.475203125,33.516859375,16.483140624999997,5941,64138337677.600334,0.6252955025604813,1.0076696994730414,15.102496565544158,1.0
4974,0,,111059956938.75435,11.045557500747703,68.51666259765625,1003,2,31.392763671875002,15.7375517578125,10.2184228515625,10.2184228515625,73,12780988379312.426,115.0818776776646,1.1702794368169296,17.080216584527008,1.0
4982,0,,84628657932.02083,10.927517453750614,62.58022308349609,1001,2,42.1666015625,20.6236953125,18.773341796875002,7.833398437500001,1190,561119528377.7573,6.630372524972387,0.9814836897075406,15.683608036967536,1.0
5001,0,,97238082511.75226,10.987836386177305,65.5432357788086,998,1,39.480390625,12.62084765625,27.174595703125,10.519609375000002,8737,60501002302.07346,0.6221945223442809,1.8690269980616034,28.515940292741792,1.0
5005,0,,99056750199.51569,10.99588407578081,65.95365142822266,997,2,26.063671875,17.8211328125,19.415939453125,17.8211328125,7168,70200558581.38339,0.7086903057084808,1.9655420944482644,29.801869220044072,1.0
5016,0,,101239151424.83182,11.005348496294024,66.4347152709961,996,1,8.717732421875,14.7146552734375,31.649296875,8.717732421875,6432,57348646157.14061,0.566467076719039,1.094380967245712,16.473028638439793,1.0
5020,0,,94813196983.49606,10.9768687906948,64.99541473388672,993,1,42.85583203125,39.21683984375,35.063625,7.144167968749997,2357,245520109515.4933,2.589514090092653,1.1357721702432129,17.474650710260864,1.0
5036,0,,105725196026.93408,11.024178499052676,67.40182495117188,990,1,38.93203515625,10.087287109375,7.6147788085937504,7.6147788085937504,7237,69473091506.27803,0.657110075147833,1.6425580193923077,24.369637180925462,1.0
5037,0,,111787424013.85973,11.048392948554064,68.66353607177734,990,1,8.779181640625,17.94555078125,25.604384765625,8.779181640625,1102,553359860688.2532,4.950108346889236,1.1055344103250324,16.100749736648623,1.0
5039,0,,40738149122.75835,10.61000129358823,49.047019958496094,989,1,6.7282436523437505,33.70068359375,24.64672265625,6.7282436523437505,13219,34554678984.36267,0.8482142593233014,0.7644857119945916,15.586792278949963,1.0
5043,0,,100026708660.70372,11.000115978752131,66.1693115234375,989,1,5.99209228515625,28.460072265625,40.8992109375,5.99209228515625,3827,146342102998.22238,1.4630302741902976,1.486612378337477,22.466795318112258,1.0
5047,0,,107786355100.78017,11.032563786087197,67.83244323730469,988,2,40.52978515625,32.667201171875,8.439025390625,8.439025390625,466,1560537912841.3616,14.478065534197345,1.3278603059426464,19.575593072731678,1.0
5051,0,,110938714787.28432,11.045083130318519,68.4912109375,987,1,24.408478515625,30.177011718750002,15.83775390625,15.83775390625,1321,464123908919.51746,4.183606325433246,1.4420828698088195,21.05500618356357,1.0
5052,0,,92388304372.09729,10.965616996456584,64.43981170654298,987,2,21.518896484375002,12.9669580078125,24.243802734375002,12.9669580078125,7696,56257445544.48255,0.608923888438342,1.2539239109339062,19.45883884087432,1.0
5056,0,,99662975123.15103,10.998533847517777,66.08948516845703,986,1,25.136421875,27.71358984375,20.336533203125,20.336533203125,6151,90933370221.88655,0.9124087466737018,1.584478283132343,23.97474090006344,1.0
5058,0,,101239151424.83182,11.005348496294024,66.43019866943361,986,1,43.54451953125,8.004974609375001,26.4948984375,6.455480468749997,7948,60258510915.990814,0.595209561399096,1.2425099731306053,18.70399303355266,1.0
5061,0,,96753106822.72954,10.985664919471871,65.43733978271484,985,2,23.912048828125002,40.02696875,33.381265625,9.973031249999998,4134,135430096871.6418,1.3997493343523946,1.1867824018469602,18.13616515872558,1.0
5070,0,,105603953875.46405,11.023680178748458,67.37385559082031,982,2,11.5150830078125,42.59023046875,6.0444296875,6.0444296875,116,6002087289920.111,56.83581977430707,1.1587510915547385,17.198824104592557,1.0
