# Transfer functions at z=99
# k/h[Mpc^-1]  T_cdm  T_baryon  T_photon  T_nu  T_total
 9.3708243e-03  1.8082948e+05  1.6863702e+05  8.5140752e+03  1.5415140e+04  1.7791484e+05
 9.6884494e-03  1.7859153e+05  1.6570833e+05  7.2162720e+03  1.4110391e+04  1.7557534e+05
 1.0016840e-02  1.7630191e+05  1.6269838e+05  5.9558491e+03  1.2867293e+04  1.7318028e+05
 1.0356362e-02  1.7396055e+05  1.5960709e+05  4.8575322e+03  1.1751949e+04  1.7072998e+05
 1.0707393e-02  1.7156745e+05  1.5643470e+05  4.0306929e+03  1.0793659e+04  1.6822469e+05
 1.1070321e-02  1.6912275e+05  1.5318188e+05  3.5511255e+03  1.0013114e+04  1.6566473e+05
 1.1445551e-02  1.6662625e+05  1.4984917e+05  3.8298276e+03  9.3950049e+03  1.6304994e+05
 1.1833499e-02  1.6407867e+05  1.4643844e+05  3.5255815e+03  8.9109629e+03  1.6038100e+05
 1.2234597e-02  1.6148097e+05  1.4295212e+05  3.2432915e+03  8.5091328e+03  1.5765883e+05
 1.2649290e-02  1.5883389e+05  1.3939288e+05  2.9814954e+03  8.1341880e+03  1.5488406e+05
 1.3078039e-02  1.5613831e+05  1.3576395e+05  2.7388267e+03  7.7307686e+03  1.5205764e+05
 1.3521320e-02  1.5339531e+05  1.3206931e+05  2.5140139e+03  7.2640615e+03  1.4918086e+05
 1.3979627e-02  1.5060619e+05  1.2831373e+05  2.3058743e+03  6.7237095e+03  1.4625550e+05
 1.4453468e-02  1.4777250e+05  1.2450279e+05  2.1133057e+03  6.1315386e+03  1.4328384e+05
 1.4943370e-02  1.4489605e+05  1.2064307e+05  1.9352792e+03  5.5333452e+03  1.4026870e+05
 1.5449877e-02  1.4197897e+05  1.1674212e+05  1.7708285e+03  4.9828555e+03  1.3721341e+05
 1.5973553e-02  1.3902373e+05  1.1280859e+05  1.6190426e+03  4.5244058e+03  1.3412161e+05
 1.6514978e-02  1.3603319e+05  1.0885232e+05  1.4790604e+03  4.1748535e+03  1.3099734e+05
 1.7074755e-02  1.3301056e+05  1.0488434e+05  1.3500693e+03  3.9177080e+03  1.2784493e+05
 1.7653506e-02  1.2995957e+05  1.0091694e+05  1.2313053e+03  3.7092710e+03  1.2466913e+05
 1.8251873e-02  1.2688437e+05  9.6963719e+04  1.1220543e+03  3.4973096e+03  1.2147521e+05
 1.8870523e-02  1.2378962e+05  9.3039539e+04  1.0216534e+03  3.2451875e+03  1.1826915e+05
 1.9510141e-02  1.2068048e+05  8.9160562e+04  9.2948767e+02  2.9492505e+03  1.1505780e+05
 2.0171440e-02  1.1756267e+05  8.5344102e+04  8.4498499e+02  2.6390798e+03  1.1184878e+05
 2.0855153e-02  1.1444240e+05  8.1608570e+04  7.6760974e+02  2.3589800e+03  1.0865047e+05
 2.1562041e-02  1.1132645e+05  7.7973344e+04  6.9685620e+02  2.1404570e+03  1.0547173e+05
 2.2292889e-02  1.0822209e+05  7.4458469e+04  6.3224500e+02  1.9827097e+03  1.0232179e+05
 2.3048508e-02  1.0513705e+05  7.1084453e+04  5.7332330e+02  1.8547532e+03  9.9210102e+04
 2.3829740e-02  1.0207944e+05  6.7871789e+04  5.1966534e+02  1.7190620e+03  9.6146430e+04
